"","Category","Species","Taxon","Order","Body.Mass..g.","LCT...C.","UCT...C.","Note.on.UCT.","TNZ...C.","Latitudinal.center...N.","Longitudinal.center...W.","Maximum.temperature","Minimum.temperature","Latitudinal.range","Range.size..Grid...","Latitudinal.maximum.....","Latitudinal.minimum.....","Elevation.maximum..meters.","Elevation.minimum..meters.","References"
"144","Birds","Myiopsitta monachus","Psittacidae","Psittaciformes",80.4,24.5,38.5,NA,14,39.26,-1.47,32.84,-4.89,23.23,43,50.88,27.65,1000,0,"Weathers and Caccamise 1975"
"145","Birds","Neophema pulchella","Psittacidae","Psittaciformes",40,28.3,32,NA,3.7,-31.97,148.58,35.47,-1.61,12.18,275,38.06,25.88,NA,NA,"Prinzinger and Hänssler 1980, Burton et al., 2008"
"146","Birds","Neophema splendida","Psittacidae","Psittaciformes",40.86,26,29,NA,3,-30.45,131.52,38.7,2.36,9.14,192,35.02,25.88,NA,NA,"Burton et al., 2008"
"147","Birds","Nothoprocta perdicaria","Tinamidae","Tinamiformes",458,10,28,"2",18,-34.98,-72.18,29.81,-8.06,13.31,88,41.63,28.32,NA,NA,"Withers et al., 1987"
"148","Birds","Eudyptula minor","Spheniscidae","Sphenisciformes",1059.3,16,25,NA,9,-43.93,-176.55,22.9,-0.96,3.19,7,43.28,40.46,NA,NA,"Richman and Lovvorn 2011"
"149","Birds","Otus leucotis","Pycnonotidae","Strigiformes",221.1,20,32,NA,12,-6.38,17.06,42.85,-3.58,49.68,7032,31.22,0,1600,0,"Smit et al., 2008"
"150","Birds","Aegolius funereus","Strigidae","Strigiformes",130,10,25,"2",15,53.57,88.09,35.89,-53.55,33.33,7558,70.23,36.9,NA,NA,"Hohtola 1994"
"151","Birds","Bubo virginianus","Strigidae","Strigiformes",1000,20.3,32.2,NA,11.9,6.37,-107.35,41.81,-36.1,124.66,11955,68.7,0,4500,0,"Ganey et al., 1993"
"152","Birds","Glaucidium gnoma","Strigidae","Strigiformes",52,27,34,"1b",7,45.51,-121.11,41.49,-26.63,25.78,744,58.4,32.62,NA,NA,"Ligon 1968"
"153","Birds","Megascops asio","Strigidae","Strigiformes",141.5,26,34,NA,8,35.74,-91.24,38.36,-24.28,28.25,2198,49.87,21.62,1500,0,"Ligon 1969"
"154","Birds","Megascops trichopsis","Strigidae","Strigiformes",119,27,35,NA,8,22.21,-98.33,39.38,-5.41,19.14,385,31.78,12.64,2500,750,"Ligon 1969"
"155","Birds","Strix aluco","Strigidae","Strigiformes",419,16,35,"2",19,42.21,60.83,46.33,-27.93,45.93,6808,65.18,19.25,4250,0,"Bech and Præsteng 2004"
"156","Birds","Strix occidentalis","Strigidae","Strigiformes",571,17,25.2,NA,8.2,35.51,-112.49,41.49,-20.84,31.74,768,51.39,19.64,2700,0,"Ganey et al., 1993"
"157","Birds","Tyto alba","Tytonidae","Strigiformes",533.2,22.5,32.5,NA,10,1.48,0.04,46.15,-20.72,112.69,16984,57.83,0,4000,0,"Edwards 1987"
"158","Birds","Apteryx australis","Apterygidae","Struthioniformes",3137,10,30,"1b",20,-45.59,167.46,20.53,-3.14,3.32,16,47.25,43.93,NA,NA,"McNab 1996"
"159","Birds","Apteryx haastii","Apterygidae","Struthioniformes",2529,5,30,"1b",25,-42.34,171.04,22,-3.64,4.12,33,44.4,40.28,NA,NA,"McNab 1996"
"160","Birds","Apteryx owenii","Apterygidae","Struthioniformes",1377,6,29,"1b",23,-38.53,175.14,24.2,3,5.3,5,41.18,35.88,NA,NA,"McNab 1996"
"161","Birds","Turnix suscitator","Turnicidae","Turniciformes",58.1,33,39,"1b",6,12.84,99.73,42.89,-17.49,43.8,2910,34.74,0,2500,0,"Prinzinger et al., 1993"
"162","Mammals","Setifer setosus","Tenrecidae","Afrosoricida",530,28,33,"1b",5,-18.8,46.89,35.8,5.18,13.35,276,25.48,12.13,NA,NA,"McNab 1980"
"163","Mammals","Aotus trivirgatus","Primates","Aotidae",1020,28,30,NA,2,2.16,-61.58,36.05,14.71,11.01,359,7.66,0,NA,NA,"Le-Maho et al., 1981"
"164","Mammals","Kobus ellipsiprymnus","Bovidae","Artiodactyla",1e+05,13,37,"1a",24,-6.31,14.49,41.77,1.24,44.85,3977,28.74,0,NA,NA,"Taylor et al., 1969"
"165","Mammals","Madoqua kirkii","Bovidae","Artiodactyla",4600,25,35,"1a",10,-10.77,27.41,39.12,1.63,26.99,653,24.27,0,NA,NA,"Maskrey and Hoppe, 1979"
"166","Mammals","Philantomba monticola","Bovidae","Artiodactyla",4400,26,32,"1a",6,-12.49,24.27,38.9,-2.42,43.36,2823,34.17,0,NA,NA,"Haim and Skinner, 1991"
"167","Mammals","Raphicerus campestris","Bovidae","Artiodactyla",8500,30,33,"1a",3,-16.89,26.08,37.02,-3.58,35.42,1796,34.6,0,NA,NA,"Haim and Skinner, 1991"
"168","Mammals","Sus scrofa","Suidae","Artiodactyla",48000,4,22,"1b",18,26.34,65.96,46.33,-40.68,70.03,12622,61.35,0,NA,NA,"Huynh et al., 2005"
"169","Mammals","Pecari tajacu","Tayassuidae","Artiodactyla",20000,28,35,NA,7,0.07,-74.73,41.28,-10.39,70.19,6839,35.17,0,NA,NA,"Zervanos 1975"
"170","Mammals","Tragulus javanicus","Tragulidae","Artiodactyla",1618,26.6,29,NA,2.4,-7.34,110.44,34.37,13.73,2.67,77,8.68,6.01,NA,NA,"Whittow et al., 1977"
"171","Mammals","Canis mesomelas","Canidae","Carnivora",7720,22,26,NA,4,-8.07,31.62,42.44,-3.58,53.06,2795,34.6,0,NA,NA,"Downs et al., 1991"
"172","Mammals","Canis latrans","Canidae","Carnivora",10000,22,26,NA,4,39.54,-117.84,41.81,-38.78,62.98,7310,71.03,8.05,NA,NA,"Golightly and Ohmart 1983"
"173","Mammals","Vulpes macrotis","Canidae","Carnivora",1868,22,33,NA,11,33.25,-111.23,41.81,-20.79,21.68,872,44.09,22.41,NA,NA,"Golightly and Ohmart 1983"
"174","Mammals","Cerdocyon thous","Canidae","Carnivora",5444,25,37,"1b",12,-11.17,-56.24,36.08,4.31,46.85,3254,34.6,0,NA,NA,"Henneman et al., 1983"
"175","Mammals","Canis lupus","Canidae","Carnivora",18066.67,10,32.5,"2",22.5,47.25,0.21,46.33,-53.55,71.51,22613,83,11.49,NA,NA,"Irving et al., 1995"
"176","Mammals","Vulpes zerda","Canidae","Carnivora",1106,23.4,32,NA,8.6,23.85,9.37,48.73,-0.28,20.09,3652,33.89,13.8,NA,NA,"Noll-Banholzer 1979"
"177","Mammals","Fossa fossana","Eupleridae ","Carnivora",2260,26,34,NA,8,-18.79,48.5,33,7.3,12.56,85,25.07,12.51,NA,NA,"McNab 1995"
"178","Mammals","Leptailurus serval","Felidae","Carnivora",10100,15,30,"2",15,0.93,15.01,42.47,-3.58,71.06,5540,36.47,0,NA,NA,"Downs et al., 1991"
"179","Mammals","Galerella sanguinea","Herpestidae","Carnivora",540,26,31,NA,5,-6.6,17.05,42.47,-3.52,50.91,7032,32.06,0,NA,NA,"Kamau et al., 1979"
"180","Mammals","Suricata suricatta","Herpestidae","Carnivora",850,30,33,NA,3,-24.89,21.19,37.02,-3.58,18.57,791,34.17,15.6,NA,NA,"Müller and Lojewski 1986"
"181","Mammals","Eira barbara","Mustelidae","Carnivora",2950,26,35,"1a",9,-4.47,-72.4,39.53,-9.35,58.55,5754,33.74,0,NA,NA,"McNab 1995"
"182","Mammals","Martes americana","Mustelidae","Carnivora",1038,26,35,"2",9,52.74,-107.81,36.5,-37.79,33.42,3497,69.46,36.03,NA,NA,"Worthen and Kilgore 1981"
"183","Mammals","Nasua nasua","Procyonidae","Carnivora",4000,25,33,NA,8,-11.45,-58.86,36.06,0.34,42.05,4491,32.48,0,NA,NA,"Mugaas et al. 1993"
"184","Mammals","Nasua narica","Procyonidae","Carnivora",5554,25,35,"1a",10,19.52,-93.81,41.28,-11.28,31.31,1145,35.17,3.86,NA,NA,"Chevillard-Hugot et al., 1979"
"185","Mammals","Potos flavus","Procyonidae","Carnivora",2400,23,30,NA,7,0.27,-68.77,39.53,-12.45,46.67,5392,23.61,0,NA,NA,"Müller et al., 1983"
"186","Mammals","Ailurus fulgens","Ursidae","Carnivora",5740,25,36,NA,11,27.75,94.14,32.44,-22.15,12.27,374,33.89,21.62,NA,NA,"McNab 1988"
"187","Mammals","Genetta tigrina","Viverridae","Carnivora",1732,26,35,"1a",9,-32.08,24.24,34.28,-3.49,5.04,122,34.6,29.56,NA,NA,"Henneman and Konecy 1980"
"188","Mammals","Nandinia binotata","Viverridae","Carnivora",4270,27,34,NA,7,-3.44,11.37,40.43,4.35,34.48,2679,20.69,0,NA,NA,"McNab 1995"
"189","Mammals","Arctictis binturong","Viverridae","Carnivora",14280,27,36,"1a",9,10.48,104.19,37.83,-20.7,36.79,1591,28.88,0,NA,NA,"McNab 1995"
"190","Mammals","Arctogalidia trivirgata","Viverridae","Carnivora",2010,19,38,"1a",19,10.64,105.41,38.26,-6.97,34.82,1335,28.06,0,NA,NA,"McNab 1995"
"191","Mammals","Paradoxurus hermaphroditus","Viverridae","Carnivora",3160,27,36,"1b",9,11.42,101.46,42.89,-21.25,43.25,3529,33.04,0,NA,NA,"McNab 1995"
"192","Mammals","Saccopteryx bilineata","Emballonuridae","Chiroptera",8.2,30,35,NA,5,0.27,-70.34,39.53,-0.92,46.67,5394,23.61,0,NA,NA,"Genoud and Bonaccorso 1986"
"193","Mammals","Peropteryx macrotis","Emballonuridae","Chiroptera",5.1,30.5,37,"1a",6.5,-2.54,-65.97,36.8,-3.01,48.3,5402,26.69,0,NA,NA,"Genoud et al., 1990"
"194","Mammals","Rhinonicteris aurantia","Hipposideridae","Chiroptera",8.27,32.5,37.5,NA,5,-17.02,127,41.61,7.85,12.1,382,23.07,10.98,NA,NA,"Baudinette et al., 2000"
"195","Mammals","Hipposideros maggietaylorae","Hipposideridae","Chiroptera",18.2,30,34,"1a",4,-5.26,141.77,32.73,9.33,10.53,217,10.59,0,NA,NA,"Bonaccorso and McNab 2003"
"196","Mammals","Hipposideros diadema","Hipposideridae","Chiroptera",37.2,29,34,"1a",5,0.07,127.19,37.8,6.58,37.57,1935,18.86,0,NA,NA,"Bonaccorso and McNab 2003"
"197","Mammals","Hipposideros galeritus","Hipposideridae","Chiroptera",8.5,29,32,NA,3,9.26,98.84,42.55,7.17,34.34,1210,26.43,0,NA,NA,"McNab 1989"
"198","Mammals","Macroderma gigas","Megadermatidae","Chiroptera",107,30,35,NA,5,-17.62,133.21,41.61,6.79,13.3,572,24.27,10.98,NA,NA,"Baudinette et al., 2000, Leitner and Nelson 1966"
"199","Mammals","Molossus molossus","Molossidae","Chiroptera",15.6,32,36,NA,4,-2.87,-70.06,39.53,-12.45,64.31,6760,35.02,0,NA,NA,"McNab 1969"
"200","Mammals","Tadarida brasiliensis","Molossidae","Chiroptera",16.9,26.3,32.7,NA,6.4,1.23,-81.22,41.81,-20.84,85.72,6186,44.09,0,NA,NA,"Soriano et al., 2002"
"201","Mammals","Mormoops megalophylla","Mormoopidae","Chiroptera",16.5,33.5,39.5,"2",6,13.14,-88.04,39.53,-8.01,39.81,1754,33.04,0,NA,NA,"Bonaccorso et al., 1992"
"202","Mammals","Pteronotus davyi","Mormoopidae","Chiroptera",9.4,34.5,43,"2",8.5,11.08,-80.03,39.53,-0.29,37.23,1706,29.7,0,NA,NA,"Bonaccorso et al., 1992"
"203","Mammals","Pteronotus parnellii","Mormoopidae","Chiroptera",19.2,34,40.5,"2",6.5,6.45,-73.15,39.53,-12.45,45.66,3901,29.29,0,NA,NA,"Bonaccorso et al., 1992"
"204","Mammals","Pteronotus personatus","Mormoopidae","Chiroptera",14,34,38.5,"2",4.5,5.43,-72.11,39.53,-12.08,43.61,2283,27.24,0,NA,NA,"Bonaccorso et al., 1992"
"205","Mammals","Chrotopterus auritus","Mormoopidae","Chiroptera",96.1,28,34,"1b",6,-5.01,-65.7,36.8,-12.45,53.25,5601,31.64,0,NA,NA,"McNab 1969"
"206","Mammals","Pteronotus quadridens","Mormoopidae","Chiroptera",4.9,30,38,NA,8,20.44,-75.37,34.45,8.25,5.52,134,23.21,17.68,NA,NA,"Rodríguez-Durán 1995"
"207","Mammals","Mormoops blainvillei","Mormoopidae","Chiroptera",8.6,30,36,"1b",6,20.44,-75.37,34.45,8.25,5.52,134,23.21,17.68,NA,NA,"Rodríguez-Durán 1995"
"208","Mammals","Natalus tumidirostris","Natalidae","Chiroptera",5.4,28,35,NA,7,6.73,-64.86,36.08,4.31,11.06,742,12.26,1.2,NA,NA,"Genoud et al., 1990"
"209","Mammals","Diaemus youngi","Natalidae","Chiroptera",36.6,25,30,"1b",5,-3.19,-67.22,36.8,-12.45,54.39,5546,30.39,0,NA,NA,"McNab 1969"
"210","Mammals","Desmodus rotundus","Natalidae","Chiroptera",29.4,29,37.5,"1b",8.5,-7.48,-72.7,39.53,-12.53,71.06,7463,43.01,0,NA,NA,"McNab 1969"
"211","Mammals","Noctilio albiventris","Noctilionidae","Chiroptera",27,32,38,"1a",6,-6.74,-64.15,36.8,-12.45,47.28,5438,30.39,0,NA,NA,"McNab 1969"
"212","Mammals","Noctilio leporinus","Noctilionidae","Chiroptera",61,28,38,NA,10,-2.81,-71.97,39.53,-7.62,57.65,6298,31.64,0,NA,NA,"McNab 1969"
"213","Mammals","Glossophaga longirostris","Phyllostomidae","Chiroptera",13.5,31.5,36,"1a",4.5,6.93,-67.91,36.08,4.31,12.97,740,13.41,0.44,NA,NA,"Arends et al., 1995"
"214","Mammals","Leptonycteris curasoae","Phyllostomidae","Chiroptera",24,27,35,"2",8,7.68,-68.42,36.05,4.31,9.92,403,12.64,2.72,NA,NA,"Arends et al., 1995"
"215","Mammals","Leptonycteris yerbabuenae","Phyllostomidae","Chiroptera",44,35.5,38,"2",2.5,23.44,-100.81,40.79,-8.33,20.05,622,33.47,13.41,NA,NA,"Arends et al., 1995"
"216","Mammals","Glossophaga soricina","Phyllostomidae","Chiroptera",9.6,31.4,35.2,NA,3.8,-0.97,-72.87,39.53,-12.45,61.33,6360,31.64,0,NA,NA,"Cruz-Neto and Abe 1997"
"217","Mammals","Phyllostomus elongatus","Phyllostomidae","Chiroptera",35.6,25,36,"2",11,-6.57,-56.29,36.08,-12.45,34.59,4439,23.87,0,NA,NA,"McNab 1969"
"218","Mammals","Uroderma bilobatum","Phyllostomidae","Chiroptera",16.2,30,35,NA,5,-3.11,-65.11,36.8,-12.45,44.72,5435,25.48,0,NA,NA,"McNab 1969"
"219","Mammals","Tonatia bidens","Phyllostomidae","Chiroptera",27.4,28,35,NA,7,-16.17,-51.86,36.01,-12.22,21.85,1610,27.1,5.25,NA,NA,"McNab 1969"
"220","Mammals","Artibeus concolor","Phyllostomidae","Chiroptera",19.7,29,38,"2",9,-1.47,-54.97,36.08,13.48,22.85,2732,12.9,0,NA,NA,"McNab 1969"
"221","Mammals","Rhinophylla pumilio","Phyllostomidae","Chiroptera",9.5,30,35,NA,5,-4.58,-57.08,36.08,-12.45,29.84,3542,19.51,0,NA,NA,"McNab 1969"
"222","Mammals","Phyllostomus hastatus","Phyllostomidae","Chiroptera",84.2,25,35,NA,10,-3.88,-62.02,36.08,-12.45,40.78,5323,24.27,0,NA,NA,"McNab 1969"
"223","Mammals","Artibeus lituratus","Phyllostomidae","Chiroptera",70.1,25,36,NA,11,-1.57,-72.11,39.53,-12.45,55.98,6062,29.56,0,NA,NA,"McNab 1969"
"224","Mammals","Phyllostomus discolor","Phyllostomidae","Chiroptera",33.5,25,37,NA,12,-2.52,-65.83,36.8,-3.22,44.31,5297,24.67,0,NA,NA,"McNab 1969"
"225","Mammals","Carollia perspicillata","Phyllostomidae","Chiroptera",14.9,29,35,NA,6,-4.18,-66.57,36.8,-12.08,51.58,5861,29.97,0,NA,NA,"McNab 1969"
"226","Mammals","Artibeus jamaicensis","Phyllostomidae","Chiroptera",45.2,25,35,NA,10,8.62,-83.6,39.53,1.85,30.77,1036,24.01,0,NA,NA,"McNab 1969"
"227","Mammals","Sturnira lilium","Phyllostomidae","Chiroptera",21.9,30,35.5,"1b",5.5,-2.03,-72.78,39.53,-12.45,64.28,6548,34.17,0,NA,NA,"McNab 1969"
"228","Mammals","Diphylla ecaudata","Phyllostomidae","Chiroptera",27.8,26,30,NA,4,0.9,-68.85,38.36,-12.45,59.26,3597,30.53,0,NA,NA,"McNab 1969"
"229","Mammals","Anoura caudifer","Phyllostomidae","Chiroptera",11.5,26,35,NA,9,-9.27,-58.79,36.08,-12.45,43.06,3836,30.8,0,NA,NA,"McNab 1969"
"230","Mammals","Choeroniscus periosus","Phyllostomidae","Chiroptera",15,28.2,37.7,NA,9.5,3.48,-78.04,32.52,9.05,6.08,50,6.52,0.44,NA,NA,"McNab 1969"
"231","Mammals","Monophyllus redmani","Phyllostomidae","Chiroptera",8.7,31,35,"1b",4,20.44,-75.37,34.45,8.25,5.52,139,23.21,17.68,NA,NA,"Rodríguez-Durán 1995"
"232","Mammals","Erophylla bombifrons","Phyllostomidae","Chiroptera",16.1,30,33,"1b",3,18.86,-70.14,34.45,8.25,2.35,58,20.04,17.68,NA,NA,"Rodríguez-Durán 1995"
"233","Mammals","Anoura latidens","Phyllostomidae","Chiroptera",13.6,34.7,36.2,"1a",1.5,-0.32,-69.61,36.05,-6.66,22.84,437,11.74,0,NA,NA,"Soriano et al., 2002"
"234","Mammals","Sturnira erythromos","Phyllostomidae","Chiroptera",15.9,25.5,32.5,NA,7,-8.03,-70.54,36.08,-12.45,40.58,1210,28.32,0,NA,NA,"Soriano et al., 2002"
"235","Mammals","Macroglossus minimus","Pteropodidae","Chiroptera",16.3,30.9,33,"1a",2.1,0.07,128.76,38.59,6.58,36.79,2114,18.46,0,NA,NA,"Bartels et al., 1998"
"236","Mammals","Pteropus scapulatus","Pteropodidae","Chiroptera",440,24,35,NA,11,-23.12,133.46,41.02,-3.3,28.13,1427,37.19,9.06,NA,NA,"Bartholomew et al., 1964"
"237","Mammals","Pteropus poliocephalus","Pteropodidae","Chiroptera",825,15,35,"1a",20,-31.41,148.06,33.2,-2.28,15.07,176,38.94,23.87,NA,NA,"Bartholomew et al., 1964"
"238","Mammals","Dobsonia minor","Pteropodidae","Chiroptera",73.7,27.5,35,"1b",7.5,-5.45,140.87,32.73,7.66,10.28,373,10.59,0.31,NA,NA,"McNab and Bonaccorso 2001"
"239","Mammals","Melonycteris melanops","Pteropodidae","Chiroptera",53.3,28,33,"1a",5,-4.3,150.13,30.9,18.38,4.18,44,6.39,2.21,NA,NA,"Bonaccorso and McNab 1997"
"240","Mammals","Syconycteris australis","Pteropodidae","Chiroptera",17.8,29.5,33,"1a",3.5,-16.63,140.18,35.33,3.87,33.26,638,33.32,0,NA,NA,"Geiser et al., 1996"
"241","Mammals","Eonycteris spelaea","Pteropodidae","Chiroptera",51.6,26,32.5,NA,6.5,9.95,101.73,39.36,-16.69,40.32,1906,30.11,0,NA,NA,"McNab 1989"
"242","Mammals","Cynopterus brachyotis","Pteropodidae","Chiroptera",37.4,30,37,NA,7,12.59,96.63,40.9,-18.15,33.39,1362,29.29,0,NA,NA,"McNab 1989"
"243","Mammals","Pteropus rodricensis","Pteropodidae","Chiroptera",254.5,24,35.5,"1b",11.5,-19.9,63.42,29,18.3,0,1,19.9,19.9,NA,NA,"McNab and Armstrong 2001"
"244","Mammals","Dobsonia praedatrix","Pteropodidae","Chiroptera",179.5,26,33,NA,7,-4.3,150.42,30.9,18.38,4.18,43,6.39,2.21,NA,NA,"McNab and Bonaccorso 2001"
"245","Mammals","Dobsonia anderseni","Pteropodidae","Chiroptera",241.4,28,34,NA,6,-3.92,150.1,31.25,18.38,4.94,49,6.39,1.45,NA,NA,"McNab and Bonaccorso 2001"
"246","Mammals","Nyctimene albiventer","Pteropodidae","Chiroptera",30.9,28,34,NA,6,-3.94,140.17,32.73,7.66,13.31,473,10.59,0,NA,NA,"McNab and Bonaccorso 2001"
"247","Mammals","Histiotus velatus","Vesperitilionidae","Chiroptera",11.2,25,31,NA,7,-19.43,-53.16,35.62,-6.22,26.09,1203,32.48,6.39,NA,NA,"McNab 1969"
"248","Mammals","Miniopterus schreibersii","Vespertilionidae","Chiroptera",10.91,32.5,37.5,NA,5,26.81,18.59,41.87,-15.47,45.13,1858,49.37,4.24,NA,NA,"Baudinette et al., 2000"
"249","Mammals","Lasiurus cinereus","Vespertilionidae","Chiroptera",27.5,30,34,NA,4,12.11,-100.71,41.81,-40.03,107.49,9213,65.86,0,NA,NA,"Cryan and Wolf 2003"
"250","Mammals","Myotis thysanodes","Vespertilionidae","Chiroptera",6,32.5,34.5,"1a",2,34.21,-109.23,41.81,-20.84,35.38,1535,51.9,16.51,NA,NA,"O'Farrell and Studier 1970"
"251","Mammals","Nyctophilus gouldi","Vespertilionidae","Chiroptera",10,30.7,32.5,"2",1.8,-27.66,134.33,35.53,-3.3,22.56,501,38.94,16.38,NA,NA,"Geiser and Brigham 2000"
"252","Mammals","Chalinolobus gouldii","Vespertilionidae","Chiroptera",17.5,35,40,"1a",5,-27.22,140.59,41.61,-3.3,32.49,3142,43.47,10.98,NA,NA,"Hosken and Withers 1997"
"253","Mammals","Myotis keaysi","Vespertilionidae","Chiroptera",5,29.2,33.4,"1a",4.2,-1.75,-80.01,36.8,-12.45,51.51,1565,27.51,0,NA,NA,"Machado and Soriano 2007"
"254","Mammals","Myotis oxyotus","Vespertilionidae","Chiroptera",4.8,25.2,32.5,NA,7.3,-4.61,-72.74,36.08,-12.45,33.73,1248,21.48,0,NA,NA,"Machado and Soriano 2007"
"255","Mammals","Myotis lucifugus","Vespertilionidae","Chiroptera",9.5,32.5,34.5,"1a",2,48.68,-109.12,41.19,-35.65,37.14,5234,67.25,30.11,NA,NA,"Machado and Soriano 2007"
"256","Mammals","Vespadelus vulturnus","Vespertilionidae","Chiroptera",4,27.6,33.3,NA,5.7,-34.07,145.8,37.08,-3.3,18.79,645,43.47,24.67,NA,NA,"Willis et al., 2005"
"257","Mammals","Chaetophractus nationi","Dasypodidae","Cingulata",2150,29,35,NA,6,-20.56,-67.67,27.9,-12.53,11.46,198,26.29,14.83,NA,NA,"McNab 1980"
"258","Mammals","Chaetophractus vellerosus","Dasypodidae","Cingulata",1110,30,35,NA,5,-28.27,-63.02,36.43,-6.89,22.23,608,39.39,17.16,NA,NA,"McNab 1980"
"259","Mammals","Dasypus novemcinctus","Dasypodidae","Cingulata",3320,28,38,"2",10,2.93,-71.76,39.53,-17.57,75.9,7754,40.88,0,NA,NA,"McNab 1980"
"260","Mammals","Euphractus sexcinctus","Dasypodidae","Cingulata",8190,26,37,"2",11,-16.15,-51.39,36.43,-4.46,37.74,3277,35.02,0,NA,NA,"McNab 1980"
"261","Mammals","Tolypeutes matacus","Dasypodidae","Cingulata",1160,28,36,"2",8,-24.87,-61.08,36.43,-0.52,17.75,549,33.74,15.99,NA,NA,"McNab 1980"
"262","Mammals","Zaedyus pichiy","Dasypodidae","Cingulata",1740,28,35,"1b",7,-41.21,-66.95,34.35,-12.43,24.13,641,53.28,29.15,NA,NA,"McNab 1980"
"263","Mammals","Dasycercus cristicauda","Dasyuridae","Dasyuromorphia",86,30,37,NA,7,-25.89,135.76,38.84,4.25,3.24,65,27.51,24.27,NA,NA,"Kennedy and Macfarlane 1971"
"264","Mammals","Ningaui yvonnae","Dasyuridae","Dasyuromorphia",11.6,32,35,"1a",3,-32.31,132.93,36.17,3.18,7.15,200,35.88,28.74,NA,NA,"Geiser and Baudinette 1988"
"265","Mammals","Planigale gilesi","Dasyuridae","Dasyuromorphia",9.4,28,33,"1a",5,-29.65,142.38,38.85,2.36,10.75,434,35.02,24.27,NA,NA,"Geiser and Baudinette 1988"
"266","Mammals","Planigale maculata","Dasyuridae","Dasyuromorphia",13.1,31,35,"1a",4,-22.15,137.94,39.04,-0.35,22.35,629,33.32,10.98,NA,NA,"Morton and Lee 1978"
"267","Mammals","Sminthopsis crassicaudata","Dasyuridae","Dasyuromorphia",19,31,38,"2",7,-29.82,132.06,40.39,0.03,18.25,1803,38.94,20.69,NA,NA,"Geiser and Baudinette 1987"
"268","Mammals","Sminthopsis macroura","Dasyuridae","Dasyuromorphia",24.8,31.3,34,"1a",2.7,-24.89,132.14,41.61,2.15,18.57,1856,34.17,15.6,NA,NA,"Song et al.,1995"
"269","Mammals","Caluromys derbianus","Didelphidae","Didelphimorpha",357,26.36,35,NA,8.64,8.17,-87.37,36.8,1.38,25.31,440,20.82,0,NA,NA,"McNab 1978"
"270","Mammals","Chironectes minimus","Didelphidae","Didelphimorpha",946,24.5,34,"2",9.5,-6.81,-69.57,37.75,-10.02,51.33,2937,32.48,0,NA,NA,"McNab 1978"
"271","Mammals","Didelphis marsupialis","Didelphidae","Didelphimorpha",1329,25.5,36,"2",10.5,2.64,-72.9,36.8,-12.45,41.93,4038,23.61,0,NA,NA,"McNab 1978"
"272","Mammals","Didelphis virginiana","Didelphidae","Didelphimorpha",3257,22,34,NA,12,29.91,-96.87,39.53,-19.05,39.91,2764,49.87,9.96,NA,NA,"McNab 1978"
"273","Mammals","Lutreolina crassicaudata","Didelphidae","Didelphimorpha",812,27,35,"1b",8,-14.3,-58.55,35.73,-4.46,49.28,1244,38.94,3.1,NA,NA,"McNab 1978"
"274","Mammals","Neotoma lepida","Didelphidae","Didelphimorpha",106,31,35,NA,4,-4.56,-64.77,35.73,4.31,25.2,1792,17.16,0,NA,NA,"Nelson and Yousaf 1979"
"275","Mammals","Marmosa robinsoni","Didelphidae","Didelphimorpha",122,26,36,NA,10,7.11,-71.78,36.08,4.31,10.3,334,12.26,1.96,NA,NA,"McNab 1978"
"276","Mammals","Metachirus nudicaudatus","Didelphidae","Didelphimorpha",336,27.5,36,"1b",8.5,-6.52,-63.1,36.06,-12.45,46.07,4481,29.56,0,NA,NA,"McNab 1978"
"277","Mammals","Monodelphis brevicaudata","Didelphidae","Didelphimorpha",111,28.76,36,"1b",7.24,1.97,-58.38,36.05,13.48,11.39,800,7.66,0,NA,NA,"McNab 1978"
"278","Mammals","Philander opossum","Didelphidae","Didelphimorpha",751,29.5,36,NA,6.5,-0.33,-73.77,36.8,-10.02,39.93,3094,20.29,0,NA,NA,"McNab 1978"
"279","Mammals","Thylamys elegans","Didelphidae","Didelphimorpha",40.2,27.5,35,NA,7.5,-33.49,-72.05,29.81,-4.18,13.59,97,40.28,26.69,NA,NA,"Bozinovic et al., 2005"
"280","Mammals","Acrobates pygmaeus","Burramyidae","Diprotodontia",14,34,35.1,NA,1.1,-24.77,147.3,36.25,-3.3,28.35,600,38.94,10.59,NA,NA,"Fleming 1985"
"281","Mammals","Cercartetus lepidus","Burramyidae","Diprotodontia",12,29,33,NA,4,-39.03,142.7,32.4,-0.96,8.87,78,43.47,34.6,NA,NA,"Geiser 1987"
"282","Mammals","Cercartetus concinnus","Burramyidae","Diprotodontia",18.6,28,30,"2",2,-34.01,129.47,34.93,2.15,7.24,324,37.62,30.39,NA,NA,"Geiser 1987"
"283","Mammals","Lagorchestes conspicillatus","Macropodidae","Diprotodontia",2660,25,35,NA,5,-15.89,133.11,40.97,5.17,15.95,878,23.87,7.92,NA,NA,"Dawson and Bennett 1978"
"284","Mammals","Macropus giganteus","Macropodidae","Diprotodontia",26200,15,35,NA,20,-27.72,146.72,38.36,-3.3,29.65,1013,42.55,12.9,NA,NA,"Dawson and Hulbert 1970; Dawson et al., 2000"
"285","Mammals","Macropus rufus","Macropodidae","Diprotodontia",32490,25,35,NA,10,-25.74,131.95,41.61,1.33,20.28,2297,35.88,15.6,NA,NA,"Dawson and Hulbert 1970; Dawson et al., 2000"
